t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop
24,-0.96717936,-0.7511658,-1.0,-0.5088961,-1.0,-0.5287086581077631,0,"[1.94887125609553e-07 0.001064209361693504 0.17579613716792944
 4.947278160092727 56.500492424966836 329.68940938311476
 1055.8658434430351 1922.5376512489431 2042.7558866857064
 1280.2372673088407 512.566898606984 207.09773416292836 159.85240131831924
 146.54357856539428 103.24165776951551 58.478646009938764
 30.55899759949632 15.572128754947494 4.986967652485604 1.187199359888666
 0.20093119362206446]"
25,-0.96728456,-0.7416509,-1.0,-0.61435676,-1.0,-0.5539137352767807,0,"[7.24972816e+03 3.46464964e+03 7.97963864e-01 1.00000001e+00
 2.40000000e+01 1.77000000e+02 6.68000000e+02 1.35800000e+03
 1.52800000e+03 9.96000000e+02 4.24000000e+02 1.69000000e+02
 1.32000000e+02 1.30000000e+02 9.50000000e+01 5.30000000e+01
 2.60000000e+01 1.40000000e+01 4.00000000e+00 0.00000000e+00
 0.00000000e+00]"
26,-0.97510654,-0.7190697,-1.0,-0.6313672,-1.0,-0.5719104039592023,0,"[700.0463779930607 5198.018032612232 4066.4766653584684 738.6983077158684
 14.596273783454423 59.115614290127446 291.46925421235534
 795.9747070562526 1259.4312524774366 1194.2625980869009 706.5613018050855
 291.67023730649936 141.3056760114385 119.37930953532735 97.21125407052081
 61.86291286944312 31.625204793094593 15.802291074504396 6.195053531811897
 0.9632854925526532 0.01233236160296003]"
27,-0.9755131,-0.68130493,-1.0,-0.49239948,-1.0,-0.5893436123981443,0,"[68.6592054853729 1039.3065486572605 4109.9978039232365 3844.5779894739926
 1200.1711001036101 136.84824006101292 114.43273969404015
 386.5548796067913 804.5192963551638 1053.1111702775952 865.5644742209819
 470.4836748910205 201.92866378646337 118.62537289595504 91.58320559328754
 61.41961255094055 35.46431443501662 17.95875814011172 6.4863357857244495
 0.9676191952110306 0.012334225621048134]"
28,-0.97966903,-0.63962,-1.0,1.0,-1.0,-0.6124201803384249,0,"[7.073561935119288 165.38479712751524 1258.0132565030246 3539.047361058674
 3462.819576002904 1376.161937986371 264.0778136597851 177.10194660131307
 426.13139414164357 729.4107825467715 802.9834728326521 562.7374350344122
 286.372337383873 134.51787434884 85.10130299399131 55.21978355326314
 34.984142640299766 17.23973783375049 6.392677254395775 1.1814501430612387
 0.015405667006797685]"
29,-0.9857067,-0.6314766,-1.0,-0.5863954,-1.0,-0.6932097780598261,0,"[0.7857855041077475 24.154184024483566 284.47848548388015
 1446.2269641404214 3199.6705534761845 3025.566682632956
 1273.4010054084833 271.8244306621914 137.90140994668656
 231.46642386261777 300.9856333799802 271.6261760945807 178.33218977618276
 88.90747723954517 47.00424566349694 29.672791000828035 17.59042115027024
 7.561126284919977 3.2593694105175146 1.3750889024210773
 0.20399145160056753]"
30,-0.9862671,-0.71230847,-1.0,-0.7403048,-1.0,-0.7110184181783469,0,"[0.017286837343068396 3.095234514340185 56.947566161757 434.0363564677566
 1623.7360213710404 2960.5436734068558 2603.4375664215413
 1117.6196107421213 277.27612962286986 152.0522539771435
 220.14033933551377 242.32740052124055 187.24539385114335
 107.1269710321009 54.53389976820383 30.458958553016576 17.384184706695226
 7.920038150032619 3.389921320224871 0.7019470436387403
 0.009240417900630238]"
31,-0.9822356,-0.7505133,-1.0,-0.6787598,-1.0,-0.7237404721769221,0,"[0.0014460422822424358 0.2877031800744578 9.15774133705837
 109.20623984424975 615.1768206127874 1791.4772899314096
 2739.7247859616227 2161.668576735054 918.5696211494273 272.7738209686863
 173.59607706633315 201.62840410050688 190.79564482217413
 134.79742295712754 71.40342805821543 36.664545593896705 20.48470897373111
 9.206948791461963 3.663257017519448 0.7062711448277211
 0.009242281807989583]"
32,-0.9729797,-0.7634393,-1.0,-1.0,-1.0,-0.7401470122229402,0,"[1.558958079066441e-06 0.008484857370355172 1.2799071350147864
 23.773532691373312 192.37227602325638 820.702651744006 1896.5297472673665
 2381.3184042407106 1661.7556176119583 692.9457609360024 241.1113824209865
 168.86177257240848 169.71131148390987 140.18365099244573
 84.31973901487954 42.175341314212055 20.821147820146294 10.1214545964638
 3.51351249901561 0.4881320985495978 0.006168976699428619]"
33,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7481295233299703,0,"[1.9488712560506845e-07 0.0010642093240557007 0.17578987826807202
 4.925215132584031 54.47892677567178 318.71181154483264 1050.6128926142799
 1977.4359065291198 2154.9390261239582 1372.9381399695014
 570.8509021168352 235.241886210717 177.05196606218794 157.93825604338375
 110.04764681125438 58.31614575665983 27.687655947784922
 12.447007345251198 4.471272596678654 0.7192370470249821
 0.009247873456248445]"
