"","growth_k","growth_xinf","growth_sd","growth_A","growth_ds","mort_alpha","mort_beta","trapm_pmax","trapm_sigma","trapm_xmax","trapf_pmax","trapf_k","trapf_midpoint","init_mean_recruit","init_sd_recruit","init_mean_adult","init_sd_adult"
"48",1.09279528251308,81.4862665093733,2.70169138357027,1.44293795522996,0.249159925222818,3.79497726780182,0.00462065295842987,0.000426302436924349,6.19954652232402,44.5687931063857,0.000158941665239511,0.592331694011557,32.8715432469898,14.9578536019923,2.57418154505247,3.82813975313281,0.196659463926755
"49",1.38328846969436,79.0200540419139,3.29603370086093,1.58238589829131,0.261378288485188,1.02397873626264,0.000756978495815912,0.000414229396804255,6.88216181178275,43.7847831765241,0.000172459727569771,1.04910112421652,32.0440789666596,3.15607987013583,5.79051467968739,3.79498436118262,0.206852983967364
"50",1.33903415094375,78.9183290944572,2.99273823773303,1.77235713496024,0.250854648738296,7.80412388691817,0.00118959414473944,0.000520992532408907,6.41808486884667,44.6698529671226,0.00016517379730611,0.757663768855333,31.6866170066643,7.22110447204788,6.40504762166218,3.79469911149053,0.21767459539132
"51",1.18235241647621,80.2228639015896,2.78503569261151,1.35077646035343,0.284531139812137,10.9735709941115,0.00138242003976945,0.000435478884175557,6.1686002611396,44.7831874230077,0.000172021983795284,0.349082780933381,35.644571889255,11.2133070110458,4.27232591706378,3.85982411597699,0.185636040951673
"52",1.25848739126676,79.8424892766118,2.97923736888623,1.4965413140032,0.253981194235761,9.50297401099511,0.00149971531033972,0.00030071902199506,7.37280196373116,45.0066979468651,0.000168614354885466,0.662973225123294,32.9946002059105,9.60822685796781,5.78354204421531,3.83601478747968,0.206646432917863
"53",1.20885033974659,80.2322182700249,2.8735761270511,1.62737786917982,0.238271386352333,1.14176582988807,0.000446700414174289,0.000390483329794164,6.15896860056987,46.3102619178484,0.000192738382407362,0.380357521674499,37.0246981673606,8.93830489314431,4.15843598315479,3.81587373427228,0.230784759806814
"54",1.24540908990867,80.1188106374601,3.07324223971572,1.68190319670454,0.228548667232899,6.77442083990009,0.000226671084073772,0.000500896244961076,5.93966658496131,44.6371329795709,0.000182908542224032,0.37818316117369,33.8779798985743,9.84897546134101,5.20429400635322,3.74029014583671,0.241979367759923
"55",1.19370479857856,80.3790333959449,2.85728167071909,1.47335305502165,0.2375410342552,4.82002457127918,0.00348141994350596,0.000430973326549097,6.08853309891453,45.3009844566265,0.000168090362972462,0.457572572669798,35.3913242184707,11.9043406726105,4.50475306090739,3.82940842828969,0.19321048671951
"56",1.19888088921203,80.318713355883,2.9020533868064,1.57553375585167,0.231377070382157,13.4908461953613,0.000693975197934079,0.000315565212332558,6.10003118440574,45.3795702979894,0.000159207115842048,0.344040789581205,39.1691205007425,12.1953948390653,4.63782559653107,3.75773682302978,0.222480732615866
"57",1.11024674656172,80.439640132718,2.87812536742878,1.55367415265866,0.226393162553707,2.22280230779711,0.000811518999322865,0.000330067230403227,6.02385053015813,44.1714670956651,0.00019639692331299,0.345161513511586,37.6985391632262,15.3857143214191,2.79009568921883,3.79084918009526,0.222549869606073
"58",1.19316072608668,81.8310604029668,2.4602834243697,1.37257728018451,0.26365935441448,6.69690488193688,0.0050895787447649,0.000380963408337028,6.84316781188689,44.8647083158027,0.000178885947667325,0.491266956157148,37.0499238141342,10.8227566037109,6.6275115480689,3.80078583595459,0.21391642555406
