t,crabs,months,act0,act1,rew,rep,crab_pop,nonlocal_crab
89,"[ 0.  0.  0.  0.  0.  1. 22. 63. 41. 15.  2.  3.  8. 11. 21. 48. 60. 26.
  5.  1.  0.  0.]",8,50.0,50.0,-21.2402692324409,0,"[5.20568514e-17 4.75025366e-12 7.44045602e-08 1.73507842e-04
 8.10465557e-02 8.99436446e+00 2.53909006e+02 1.97159333e+03
 4.89224428e+03 4.39366151e+03 1.62249795e+03 3.55861800e+02
 4.71635755e+02 1.26622187e+03 2.50997630e+03 4.73311443e+03
 5.57353671e+03 3.01937917e+03 6.88705532e+02 6.31245947e+01
 2.26796420e+00 3.00606165e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899 ]"
90,"[  0.   0.   0.   0.   0.   0.   2.  24. 112. 100.  28.   8.   2.  10.
  31.  35.  47.  30.   7.   1.   0.   0.]",9,50.0,50.0,-21.50793589910757,0,"[7.00631734e-18 2.95386083e-13 2.45219573e-09 5.04785918e-06
 2.95317661e-03 5.01839402e-01 2.49981742e+01 3.97314275e+02
 2.23103524e+03 4.72992235e+03 4.03327467e+03 1.51973559e+03
 5.62313924e+02 1.12047244e+03 2.56545373e+03 4.80214297e+03
 5.50722903e+03 3.04881162e+03 7.49357715e+02 7.87003291e+01
 3.45885249e+00 6.16664929e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899 ]"
91,"[  0.   0.   0.   0.   0.   0.   0.   4.  39. 110.  76.  25.   4.  11.
  24.  52.  67.  30.   7.   2.   0.   0.]",10,50.0,50.0,-21.775602565774236,0,"[   0    0    0    0    0    0   15  185  967 2449 3257 2328 1148 1183
 2387 4028 4449 2832 1022  200   22    1]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.        ]"
92,"[ 0.  0.  0.  0.  0.  0.  0.  2. 17. 60. 57. 34. 16. 14. 23. 42. 50. 26.
  9.  1.  1.  0.]",4,50.0,50.0,-22.043269232440903,0,"[2.20418588e-40 3.06632060e-29 6.54405492e-20 2.17419958e-12
 1.15603740e-06 1.04884677e-02 2.14790903e+00 4.52958133e+01
 3.67677291e+02 1.42697078e+03 2.85334219e+03 3.05323045e+03
 1.92394630e+03 1.40870453e+03 2.40150410e+03 4.06564172e+03
 4.47403187e+03 2.85104186e+03 1.01720319e+03 1.97843085e+02
 2.05357820e+01 1.04602514e+00]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.        ]"
93,"[ 0.  0.  0.  0.  0.  0.  0.  2.  4. 32. 55. 39. 14. 15. 18. 37. 48. 26.
  5.  0.  0.  0.]",5,50.0,50.0,-22.31093589910757,0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.35191344e+01 3.96572932e+02 1.57521738e+03 3.07292894e+03
 3.09215711e+03 2.11865828e+03 2.52440584e+03 4.25342850e+03
 4.73384702e+03 2.89513732e+03 9.29107406e+02 1.52141870e+02
 1.23388657e+01 4.52838553e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.        ]"
94,"[ 0.  0.  0.  0.  0.  0.  0.  0.  1. 10. 23. 37. 38. 14. 28. 46. 39. 29.
 13.  2.  0.  0.]",6,50.0,50.0,-22.578602565774236,0,"[3.42929114e-74 1.13749164e-58 5.69707182e-45 4.32865970e-33
 5.02535244e-23 9.01941441e-15 2.55581239e-08 1.19557785e-03
 1.07076310e+00 4.35645195e+01 4.37119744e+02 1.81090745e+03
 3.39990756e+03 3.29073802e+03 3.04326912e+03 4.54502925e+03
 5.08784954e+03 2.93101539e+03 8.09317674e+02 1.04249006e+02
 6.08216188e+00 1.44719788e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.        ]"
95,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  4. 31. 41. 24. 37. 39. 48. 35.
 10.  4.  0.  0.]",7,50.0,50.0,-22.846269232440903,0,"[2.24896180e-55 5.30366598e-45 1.24461574e-35 1.84040626e-27
 2.87113702e-20 2.79081030e-14 3.05256083e-09 2.24063079e-05
 2.13937145e-02 2.40974212e+00 6.73092753e+01 6.32477259e+02
 2.36061587e+03 3.90117450e+03 4.01604003e+03 5.05795242e+03
 5.45995688e+03 2.95223954e+03 7.03174807e+02 7.04103742e+01
 2.96406519e+00 4.73346801e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.        ]"
96,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. 12. 23. 37. 33. 54. 47. 33.
  7.  2.  0.  0.]",8,50.0,50.0,-23.11393589910757,0,"[5.12596136e-49 2.14639112e-40 1.02861786e-32 8.32955350e-26
 1.02901617e-19 1.63917181e-14 4.40085355e-10 1.97724701e-06
 1.54470353e-03 2.70898381e-01 1.31546285e+01 2.14661747e+02
 1.33666762e+03 3.47625821e+03 4.76680629e+03 5.70837609e+03
 5.73264162e+03 2.98507750e+03 6.71226639e+02 6.12543391e+01
 2.25919005e+00 3.20407705e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.        ]"
97,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  4.  8. 41. 55. 56. 43. 33.
  7.  1.  0.  0.]",9,50.0,50.0,-23.381602565774237,0,"[3.25458211e-42 4.04805298e-35 1.08589350e-28 6.36637344e-23
 7.88321001e-18 2.17512850e-13 1.51082555e-09 2.52068722e-06
 1.10340954e-03 1.48981236e-01 6.98942346e+00 1.24496108e+02
 9.13823933e+02 2.91988359e+03 4.92612583e+03 6.13941648e+03
 5.82288946e+03 3.04419841e+03 7.34137973e+02 7.65656733e+01
 3.38549113e+00 6.21624645e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.        ]"
98,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2. 13. 35. 47. 57. 68. 30.
  5.  1.  0.  0.]",10,50.0,50.0,-23.649269232440904,0,"[   0    0    0    0    0    0    0    0    0    1   18  158  819 2346
 4206 5378 4940 2930 1009  199   22    1]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.           202.73065676]"
99,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  3. 12. 22. 43. 44. 47. 23.
  8.  2.  1.  0.]",4,50.0,50.0,-23.91693589910757,0,"[2.17052541e-80 2.27233500e-64 3.58842562e-50 8.58405437e-38
 3.13035540e-27 1.75799976e-18 1.54758766e-11 2.21185622e-06
 5.65344901e-03 4.72381907e-01 9.56165579e+00 1.05141486e+02
 6.23749028e+02 2.05417060e+03 4.11578790e+03 5.55674409e+03
 5.11826727e+03 2.99169675e+03 1.01958124e+03 1.95880466e+02
 2.04448862e+01 1.04585105e+00]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899
     0.           202.73065676]"
