t,crabs,months,act0,act1,rew,rep,crab_pop,nonlocal_crab
36,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.  16.
  29. 126. 129.  72.  17.   2.   1.   0.]",4,50.0,50.0,-7.053935899107591,0,"[1.66284242e-112 3.14616588e-093 8.93727277e-076 3.82042562e-060
 2.46534788e-046 2.41265414e-034 3.60571545e-024 8.32326748e-016
 3.02817374e-009 1.81032465e-004 2.02208648e-001 9.76591155e+000
 1.41070964e+002 1.05491003e+003 4.31838368e+003 9.37934159e+003
 1.09454401e+004 6.77141039e+003 2.25903079e+003 4.06864376e+002
 3.90115076e+001 1.98289223e+000]","[82197.39584607     0.             0.             0.
     0.        ]"
37,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  15.
  45.  71. 103.  75.  24.   3.   0.   0.]",5,50.0,50.0,-7.321602565774258,0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.26772066e+00
 8.59253356e+01 8.16435609e+02 3.93555082e+03 9.47118138e+03
 1.13978852e+04 6.85237509e+03 2.07451243e+03 3.16426915e+02
 2.40378567e+01 8.59765423e-01]","[82197.39584607     0.             0.             0.
     0.        ]"
38,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   3.   9.
  33.  74. 133.  67.  26.   1.   0.   0.]",6,50.0,50.0,-7.589269232440925,0,"[8.20859116e-121 7.80475769e-101 1.11335906e-082 2.38768321e-066
 7.71954158e-052 3.77744272e-039 2.81420609e-028 3.22192218e-019
 5.76003569e-012 1.65935280e-006 8.43905765e-003 1.36126976e+000
 4.28762362e+001 5.75506672e+002 3.48019423e+003 9.55885783e+003
 1.19912271e+004 6.90985933e+003 1.82756447e+003 2.22242232e+002
 1.21670148e+001 2.78120752e-001]","[82197.39584607     0.             0.             0.
     0.        ]"
39,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   5.
  38.  98. 116.  72.  15.   6.   0.   0.]",7,50.0,50.0,-7.856935899107592,0,"[3.74057884e-80 1.63589520e-67 4.33030027e-56 1.21943053e-45
 2.00734921e-36 3.69284825e-28 3.91063805e-21 4.85806109e-15
 3.60230808e-10 3.40671782e-06 2.77453891e-03 4.56862463e-01
 2.18542945e+01 4.03367873e+02 3.04537152e+03 9.54838459e+03
 1.25408538e+04 6.93175744e+03 1.60818126e+03 1.54157634e+02
 6.11866013e+00 9.30388365e-02]","[82197.39584607     0.             0.             0.
     0.        ]"
40,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.
  40. 103. 134.  82.  13.   2.   0.   0.]",8,50.0,50.0,-8.124602565774259,0,"[7.85197576e-66 7.71884551e-56 9.23622156e-47 1.71184460e-38
 4.77708498e-31 1.82619932e-24 1.01696630e-18 9.04145197e-14
 1.32435652e-09 3.31830355e-06 1.86594324e-03 2.99673186e-01
 1.65028777e+01 3.44087528e+02 2.83169089e+03 9.39754196e+03
 1.26513196e+04 6.94054264e+03 1.54841646e+03 1.37878987e+02
 4.86154177e+00 6.52796526e-02]","[82197.39584607     0.             0.             0.
     0.        ]"
41,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3. 31. 97. 99. 63.
 23.  1.  0.  0.]",9,50.0,50.0,-8.392269232440926,0,"[1.34516232e-54 1.68059780e-46 4.30881830e-39 2.10056353e-32
 2.33665172e-26 6.23109279e-21 3.53659877e-16 4.43390824e-12
 1.50563038e-08 1.48687968e-05 4.66277133e-03 5.21186038e-01
 2.24691547e+01 3.94685903e+02 2.91212612e+03 9.13732070e+03
 1.22270411e+04 6.97421020e+03 1.69436039e+03 1.74874116e+02
 7.55888268e+00 1.32741306e-01]","[82197.39584607     0.             0.             0.
     0.        ]"
42,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   3.
  33.  93. 114.  85.  15.   2.   0.   0.]",10,50.0,50.0,-8.659935899107593,0,"[   0    0    0    0    0    0    0    0    0    0    0    6   87  756
 3211 7562 9577 6372 2298  453   49    2]","[82197.39584607     0.             0.             0.
     0.             0.        ]"
43,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. 12. 31. 93. 98. 68.
 15.  3.  0.  0.]",4,50.0,50.0,-8.92760256577426,0,"[9.07004956e-113 1.71609048e-093 4.87487606e-076 2.08386852e-060
 1.34473521e-046 1.31599317e-034 1.96675388e-024 4.53996416e-016
 1.65173231e-009 9.87477360e-005 1.10402777e-001 5.41811765e+000
 8.56761045e+001 7.24304449e+002 3.16389041e+003 7.46831477e+003
 9.46213086e+003 6.34494684e+003 2.29057016e+003 4.47484737e+002
 4.70934973e+001 2.28760620e+000]","[82197.39584607     0.             0.             0.
     0.             0.        ]"
44,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   7.
  25.  54. 102.  66.  26.   3.   1.   0.]",5,50.0,50.0,-9.195269232440927,0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.43904613e+00
 5.35471896e+01 5.65633431e+02 2.92366053e+03 7.57028411e+03
 9.81902988e+03 6.36695045e+03 2.07561200e+03 3.41349279e+02
 2.76631000e+01 1.00104187e+00]","[82197.39584607     0.             0.             0.
     0.             0.        ]"
45,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  4. 23. 65. 81. 73.
 21.  2.  0.  0.]",6,50.0,50.0,-9.462935899107594,0,"[4.69129403e-121 4.46049907e-101 6.36296120e-083 1.36458544e-066
 4.41179719e-052 2.15884726e-039 1.60834765e-028 1.84136183e-019
 3.29193344e-012 9.48453092e-007 4.83866286e-003 8.16563357e-001
 2.81626662e+001 4.05414464e+002 2.61253501e+003 7.67350075e+003
 1.03273996e+004 6.36615721e+003 1.80573651e+003 2.34883419e+002
 1.36642421e+001 3.21913958e-001]","[82197.39584607     0.             0.             0.
     0.             0.        ]"
