t,rep,td3Agent_rew,ppoAgent_rew,tqcAgent_rew,recurrentPPOAgent_rew,constantAgent_rew
22,1,-0.7834091972766354,-0.6025990940105873,-0.5146090407698607,-0.2938177777064796,-0.4616450715154312
23,1,-1.0492610830947569,-0.6087421028105974,-0.5346978224887362,-0.3122410970412844,-0.4830082956874109
24,1,-1.4182624450882226,-0.6212072923083876,-0.5535819443097656,-0.3718424125474289,-0.5045614587177077
25,1,-1.579358227026591,-0.6322327551629359,-0.5710611296170285,-0.3729468391513877,-0.5260592505301426
26,1,-1.673878140270432,-0.6520804911072554,-0.5891394638291816,-0.3735037297518995,-0.5472960839155698
27,1,-1.7211446398576218,-0.6746713947330809,-0.6140150876473163,-0.3838419476420173,-0.5682205896529471
28,1,-1.7435542625724454,-0.7555613376837998,-0.6441291789078128,-0.3854736435875462,-0.5890768955518572
29,1,-1.7622773311907216,-0.769060915182307,-0.6745954854910928,-0.4078948894621125,-0.6099353791073246
30,1,-1.792768983266807,-0.783244861021902,-0.6954367876788359,-0.411574808729113,-0.6308862583734369
31,1,-1.8065442724401783,-0.8017651016687024,-0.7174404306255018,-0.4271338669431835,-0.6520474997213164
32,1,-1.829163114154245,-0.8109607545205405,-0.7377231909435374,-0.4510958896219332,-0.6735432461977993
33,1,-1.8573343509075555,-0.8313697659726091,-0.7570431186362835,-0.5134104822544876,-0.6952968911350442
34,1,-1.8612139388462563,-0.8441362913858936,-0.7747044329921841,-0.5148774693705146,-0.7169737684864871
35,1,-1.873506939316184,-0.8693133112814992,-0.7929754041065536,-0.5155866628974585,-0.7383297698687922
36,1,-1.9065023324246209,-0.9422185755771076,-0.8178893175039613,-0.5261361010184464,-0.7593179766877493
37,1,-1.9165141074230727,-1.1414851943053363,-0.8489439876712193,-0.5281390954758964,-0.7802013630259812
38,1,-1.9345126926700285,-1.4231216076100148,-0.8863479391934919,-0.5505205615396475,-0.8010734132459748
39,1,-1.968895140339132,-1.6180256749092807,-1.0067811935700823,-0.5537062683512042,-0.8220429956352371
40,1,-2.016548555772523,-1.7016674858663583,-1.3114080844352995,-0.5674438783684265,-0.8432272954940837
41,1,-2.0237184553712706,-1.7581574787908765,-1.5632372818151776,-0.5874425471930494,-0.8647261251388081
42,1,-2.0458635295621077,-1.787686288247373,-1.6877125505727837,-0.6463196174449986,-0.8865072072226329
43,1,-2.05238355301442,-1.8051286309197432,-1.7600436505021777,-0.6473015133130684,-0.9082594804271744
44,1,-2.0674108508038214,-1.825289341609595,-1.8138646495352344,-0.6478079310318152,-0.9296440575127398
45,1,-2.10314114911746,-1.876632563306422,-1.84275382846775,-0.6580522429350693,-0.950637961316198
46,1,-2.1126919834907008,-1.967795730789145,-1.8691705054837693,-0.6593924485403474,-0.9715231846587646
47,1,-2.1302434882688,-2.119411955581413,-1.88780209914572,-0.6815936783676815,-0.9924055317938608
48,1,-2.1680881582844918,-2.281573991019278,-1.9565470603121085,-0.6845699910354361,-1.0133803768435088
49,1,-2.218227266982713,-2.32426020779053,-1.9786825124864047,-0.6983654428736071,-1.0345762800809228
50,1,-2.2245282007271427,-2.366937558154286,-1.9991464174410687,-0.7200033642460297,-1.056114602966164
51,1,-2.24629662794653,-2.386775583446398,-2.0174615253817776,-0.779793632502553,-1.0779389815407834
52,1,-2.25201117211995,-2.4034330175661034,-2.034159769832084,-0.7812095309942902,-1.0996869011995714
53,1,-2.265954486778647,-2.4181551941051542,-2.051392676810936,-0.7818849993186764,-1.121078431295255
54,1,-2.301828007115609,-2.45270636949603,-2.0757011797850127,-0.7923622971500407,-1.1420780881928796
55,1,-2.312360458675589,-2.4646800382569665,-2.102755758083398,-0.7942840932884216,-1.162966325022342
56,1,-2.3312048361311715,-2.54603915717986,-2.1294469255836783,-0.8168017668248818,-1.183853793294485
57,1,-2.368876487659489,-2.5589897516828333,-2.150443660903837,-0.8206478291036802,-1.2048363532497164
58,1,-2.418762136343533,-2.577601306188296,-2.1723994355329674,-0.836398562256899,-1.2260366957032804
59,1,-2.4249564477868124,-2.585045840724057,-2.1925978302672475,-0.8598631328918105,-1.2475900600713392
60,1,-2.4471353355399725,-2.6006380463326133,-2.211768654728039,-0.92152547586813,-1.2694347262160175
61,1,-2.453163865808613,-2.6121455101650084,-2.2294368750554034,-0.9227787139412832,-1.2911742330353573
62,1,-2.469271280559761,-2.630646678012795,-2.247640819780797,-0.9234052109635876,-1.3125174132181543
63,1,-2.5034900944217835,-2.655253574903987,-2.2726051076819127,-0.9338066686962831,-1.3335192094450143
64,1,-2.513771874456604,-2.736265063165369,-2.302376084078619,-0.9355538416077118,-1.3548734391235853
65,1,-2.5369173556919264,-2.7509430387216365,-2.3335982009041936,-0.958068447495434,-1.3834684482256945
66,1,-2.5909680239778314,-2.7672991920115124,-2.354228032338596,-0.962010399066934,-1.5619699998807377
67,1,-2.735589851704077,-2.786156203579372,-2.376241170345704,-0.978075049156734,-1.8456508757456875
68,1,-2.9937018430343563,-2.798950616332733,-2.396604458568332,-1.0027747228474322,-2.1312055768082376
69,1,-3.252177394151498,-2.824164635122494,-2.416186221718073,-1.0637348859261069,-2.416788194342267
70,1,-3.385506271643952,-2.842947048176713,-2.434443095366302,-1.0650824379256691,-2.7023705519756125
71,1,-3.4714526575278475,-2.861281511145456,-2.4529668737326182,-1.065707705749562,-2.987925585616064
72,1,-3.513766822271469,-2.88496471809456,-2.4780548406120224,-1.0761203866479552,-3.270625466959197
73,1,-3.5301447362569145,-2.965904201285421,-2.508243039164864,-1.0778896506673583,-3.514106523655294
74,1,-3.5512128859018173,-2.980657989136737,-2.546106120545787,-1.1002944239457983,-3.5971468175636403
75,1,-3.589966233659223,-2.9977487665252007,-2.56673883462227,-1.103816088646184,-3.624033295777659
76,1,-3.660455937330113,-3.013638516038519,-2.588819683188364,-1.1187082972156552,-3.6457838901275785
77,1,-3.884994800074191,-3.02287586678027,-2.609307861237584,-1.1411637914594832,-3.666726629646072
78,1,-4.050788639652416,-3.0433096301542943,-2.6289962546409256,-1.2031924616975165,-3.687479784189116
79,1,-4.154163728162718,-3.056024160620594,-2.647134538992215,-1.2044943116702662,-3.708172742257558
80,1,-4.214289583318195,-3.081363548586447,-2.66598460850575,-1.2051123100969876,-3.728841480810271
81,1,-4.255051298558589,-3.158049011374193,-2.6911735733084425,-1.2155112375545158,-3.749511224688977
82,1,-4.2773260979522245,-3.3676131526051822,-2.721866250866652,-1.2171606961442878,-3.7702945781626496
83,1,-4.292610467897952,-3.6624943398637866,-2.7556301173368443,-1.239479219775632,-3.7934714191451295
84,1,-4.320013517378127,-3.8655687424405567,-2.776314828688529,-1.2425946900165574,-3.9054873531991774
85,1,-4.348612054809534,-3.9538041081824495,-2.7983669016223134,-1.2563267051805385,-4.186052768068569
86,1,-4.3576297250187785,-4.011941429408826,-2.81870391899012,-1.2764242833152946,-4.471557531528607
87,1,-4.380931190408905,-4.043055707836705,-2.83809749500616,-1.3359840418649926,-4.757135698921448
88,1,-4.38408658924785,-4.060766322238809,-2.855954026066758,-1.3370909485295068,-5.042714272125247
89,1,-4.419901426864395,-4.07845413831986,-2.87412290984448,-1.3376669849028076,-5.3282425938190885
90,1,-4.452859636442898,-4.116513672560842,-2.8991822992810463,-1.3480059537122608,-5.6089540206179205
91,1,-4.458883001471009,-4.133283253456556,-2.928739658059327,-1.349513077255833,-5.831649622543763
92,1,-4.473639187903829,-4.239709616277122,-2.958378139853449,-1.3717199678207708,-5.89723333445832
93,1,-4.509838886562371,-4.253620704778407,-2.979118972687513,-1.374574862647233,-5.9234443685649305
94,1,-4.560056204733616,-4.269263425841579,-3.0010311980922038,-1.3880383137471353,-5.945099458894906
95,1,-4.565991422431262,-4.274872040288872,-3.0211195738169003,-1.408197351182478,-5.966030999925278
96,1,-4.587000800688025,-4.286530919100872,-3.040231200843461,-1.4677622895986675,-5.986790765329028
97,1,-4.591234989747329,-4.297295417468814,-3.0576889749754974,-1.4689095703208814,-6.00748863305296
98,1,-4.603728635022613,-4.315374580604843,-3.0758265571002754,-1.4695006816165217,-6.028159918067809
