t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop,nonlocal_crab
22,-0.8761569,-0.83687264,-1.0,-1.0,-0.8970740572523334,-1.0696960163116658,0,"[0.499416025869124 23.239495940569988 390.4991449214107 2984.689528257316
 11170.593285490826 20642.023221532752 18566.701156628693
 8226.015022116326 1820.5660508927506 256.35140670238957 87.18404237762562
 56.821073666313886 23.84610467897841 7.456474675486465 1.467654121416973
 0.04493014401316686 4.515866417076353e-05 1.0070214662150079e-09
 3.3306690738754696e-16 0.0 0.0]",[ 6907.15466297 70036.95718038]
23,-0.66098607,-0.8368524,-1.0,-1.0,-0.8970740572523334,-1.355219069433715,0,"[0.016589246742248775 3.089799754673556 73.27966192647635
 768.3340558426781 4215.725141224995 12359.724389510833 19193.81814844538
 15422.507588770755 6206.981772354984 1216.1649369159995
 161.84124017117068 45.1647277461845 23.98132591995112 8.798841658800791
 1.5267289450225319 0.04500394900828264 4.516071402405064e-05
 1.00702246541573e-09 3.3306690738754696e-16 0.0 0.0]",[ 6907.15466297 70036.95718038]
24,-0.300727,-0.8123399,-1.0,-1.0,-0.8970740572523334,-1.6407987450902533,0,"[0.0021681867989435727 0.4268420892441125 13.280233073543611
 183.51813626486629 1364.3181774152154 5691.505546916183
 13276.140451173416 16835.32215219507 11008.880910231428
 3524.8586347349515 606.7814201727647 78.12499506006672 18.11570749442873
 6.820406888793425 1.8443901557493887 0.05976741826789089
 6.02076802600493e-05 1.3426934009075353e-09 4.440892098500626e-16 0.0 0.0]",[ 6907.15466297 70036.95718038]
25,0.05992067,-0.78858644,-1.0,-1.0,-0.8970740572523334,-1.926378112378196,0,"[2.5333293269546792e-06 0.01379255050477237 2.1004145338124047
 41.64930041032545 401.5273718654166 2226.6462770155335 7169.258510828662
 12934.663061149975 12302.95547261148 5934.723648044904 1570.7554189438786
 258.78803402354123 33.56891531312209 5.566951959703868 2.3356701287799186
 0.43597153185304593 0.011177458966125098 9.096037433264925e-06
 1.6284729120741304e-10 1.1102230246251565e-16 0.0]",[ 6907.15466297 70036.95718038]
26,0.22547662,-0.7637301,-1.0,-1.0,-0.8970740572523334,-2.2119081284061144,0,"[0.000e+00 0.000e+00 0.000e+00 1.400e+01 1.740e+02 1.260e+03 4.546e+03
 8.910e+03 9.299e+03 4.666e+03 1.274e+03 2.100e+02 3.000e+01 4.000e+00
 2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]",[ 6907.15466297 70036.95718038     0.        ]
27,-0.058481634,-0.7596252,-1.0,-1.0,-0.8970740572523334,-2.4934009111992963,0,"[2.3719045156405925e-11 4.920102293265801e-06 0.0215972831836603
 2.720712295377091 47.61293792397252 424.63594602141023 2056.1971762023386
 5342.182691734027 7342.579754879256 5241.165110812853 2063.5053860745534
 511.0438277039425 79.50009547139723 9.142776904118069 0.6767602396608385
 0.015206459936343952 1.5059265472627814e-05 3.3567693069613824e-10
 1.1102230246251565e-16 0.0 0.0]",[ 6907.15466297 70036.95718038     0.        ]
28,-0.12921208,-0.73354536,-1.0,-1.0,-0.8970740572523334,-2.7257655222288406,0,"[3.388443610483361e-12 7.029438066484437e-07 0.003097309130112297
 0.43112621539559676 11.293836005787453 132.89637022212924
 816.3460512003239 2690.3871051874894 4641.39993855716 4224.9429973076885
 2248.506674112895 785.0271521345261 181.39024876145905 24.38016528015145
 1.9496709173423028 0.04552090950576748 4.5175063233870993e-05
 1.0070294598207852e-09 3.3306690738754696e-16 0.0 0.0]",[ 6907.15466297 70036.95718038     0.        ]
29,-0.32339704,-0.7071076,-1.0,-1.0,-0.8970740572523334,-2.8013138265451096,0,"[4.932994417539631e-18 4.140171272749001e-11 6.885657628739605e-06
 0.02438506303171283 2.554007347691531 39.593800205167355
 300.7685332154343 1213.933625224047 2527.413648172259 2842.5149920140216
 1942.3954086350288 882.7991762458993 271.7683632753686 49.44385194771732
 5.639365186135093 0.15068602475215898 0.00015055439015709826
 3.3567506552145687e-09 1.1102230246251565e-15 0.0 0.0]",[ 6907.15466297 70036.95718038     0.        ]
30,-0.51797056,-0.6789752,-1.0,-1.0,-0.8970740572523334,-2.828442451939313,0,"[8.969081256059916e-19 7.527601461416915e-12 1.2520540960735269e-06
 0.004449164951145068 0.5087181251760798 11.05286196761027
 105.85584494922638 510.8923503395796 1253.7415238507792
 1658.7438924384815 1359.6653565955407 771.0134330627272 296.7616374083824
 80.42123310356119 13.218004057143975 1.0980947344090848
 0.022580752933635373 1.8197109994178007e-05 3.25696247749363e-10
 2.220446049250313e-16 0.0]",[ 6907.15466297 70036.95718038     0.        ]
31,-0.69026273,-0.65316635,-1.0,-1.0,-0.8970740572523334,-2.850258047552491,0,"[3.52636545522399e-26 1.2298103548498594e-17 8.256768009929265e-11
 1.1012054967157254e-05 0.031465754432574045 2.710574969493766
 34.78533093023066 199.27948712459897 557.8613315917411 853.1577708078348
 839.2588397918512 589.3019743444547 287.8451311954855 93.76904791599024
 22.86003259326931 2.7490337654386883 0.3817198350584661
 0.008242938695975699 5.429208550955522e-06 7.801737034185408e-11 0.0]",[ 6907.15466297 70036.95718038     0.        ]
32,-0.81009,-0.6159151,-1.0,-1.0,-0.8970740572523334,-2.8712123691443323,0,"[7.052730921502416e-27 2.4596208722225656e-18 1.6513581308294772e-11
 2.20265424987413e-06 0.00631917206553934 0.6020514943130615
 11.047544607582902 75.71260539652877 241.016994824732 416.13466257108865
 460.1912747945521 367.74503944466153 218.4267057888234 88.73169977842115
 24.46592503603017 5.762909235575829 0.15613831387070076
 0.00012733680361887156 2.279859523390826e-09 1.5543122344752192e-15 0.0]",[ 6907.15466297 70036.95718038     0.        ]
33,-0.89429295,-0.59127975,-1.0,-1.0,-0.8970740572523334,-2.8919779612662233,0,"[8.941088226296242e-36 1.3145230244507895e-25 3.663035259789226e-17
 1.967514801835454e-10 2.1046308343263447e-05 0.04845801322529842
 3.2712752123167848 27.030495336584192 95.11287609078745
 187.21509910290723 243.84894677397702 226.02536936108126
 149.65357068711046 74.74205022060697 26.978327436384134
 7.5600851356032654 1.4804685337129289 0.03293533270303062
 2.171618280211174e-05 3.1206903727820645e-10 0.0]",[ 6907.15466297 70036.95718038     0.        ]
34,-0.93691254,-0.56037176,-1.0,-1.0,-0.8970740572523334,-2.912675141108259,0,"[1.6256524048450253e-36 2.39004186663208e-26 6.660064577618097e-18
 3.577310080829644e-11 3.82705023372727e-06 0.008849053628497264
 0.6662661385072006 8.712231295141166 36.60705971921885 75.57750179603391
 105.73568083410898 118.68646313699703 95.36777481825773
 53.911221083699466 24.301795257661592 7.3139727736283575
 1.782340213072636 0.32283294958342457 0.006003902536362182
 3.2008018684415163e-06 3.6909586498268254e-11]",[ 6907.15466297 70036.95718038     0.        ]
35,-0.97059375,-0.5244467,-1.0,-1.0,-0.8970740572523334,-2.9333477474983987,0,"[5.73888877e+03 2.74261854e+03 6.31668630e-01 4.36991781e-09
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.00000000e+00
 2.60000000e+01 5.80000000e+01 8.40000000e+01 9.70000000e+01
 7.90000000e+01 4.60000000e+01 2.30000000e+01 7.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
